"Arvore de Busca","Arquivo","Tempo De Execução","Altura","Quantidade de Rotações"
"AVL","1MCrescente","0.0843539","20","999980"
"AVL","1MDecrescente","0.1068664","20","999980"
"AVL","1MDesordenado","0.4415588","23","1172535"
"AVL","1MDesordenado10Finais","0.106314","21","969945"
"AVL","1MDesordenado10Iniciais","0.109834","21","969684"
"AVL","2MCrescente","0.1638438","21","1999979"
"AVL","2MDecrescente","0.1673799","21","1999979"
"AVL","2MDesordenado","0.7207614","24","2381778"
"AVL","2MDesordenado10Finais","0.211742","22","1939531"
"AVL","2MDesordenado10Iniciais","0.2113351","22","1939460"
"AVL","3MCrescente","0.2584795","22","2999978"
"AVL","3MDecrescente","0.3267041","22","2999978"
"AVL","3MDesordenado","1.1831384","25","3590694"
"AVL","3MDesordenado10Finais","0.3245113","23","2910124"
"AVL","3MDesordenado10Iniciais","0.3980774","23","2910009"
