"Arvore de Busca","Arquivo","Tempo De Execução","Altura","Quantidade de Rotações"
"Binary","1MCrescente","669.2942171","1000000","0"
"Binary","1MDecrescente","665.962432401","1000000","0"
"Binary","1MDesordenado","2.0500696","558","0"
"Binary","1MDesordenado10Finais","742.769394101","900038","0"
"Binary","1MDesordenado10Iniciais","577.0466342","900010","0"
"Binary","2MCrescente","3201.4633757","2000000","0"
"Binary","2MDecrescente","2962.877831301","2000000","0"
"Binary","2MDesordenado","15.8690493","1909","0"
"Binary","2MDesordenado10Finais","3119.5434309","1800040","0"
"Binary","2MDesordenado10Iniciais","2454.9432007","1800012","0"
"Binary","3MCrescente","6898.5657389","3000000","0"
"Binary","3MDecrescente","6395.9175444","3000000","0"
"Binary","3MDesordenado","19.7882118","2957","0"
"Binary","3MDesordenado10Finais","6829.8471726","2700043","0"
"Binary","3MDesordenado10Iniciais","5553.447103","2700012","0"
