"Arvore de Busca","Arquivo","Tempo De Execução","Altura","Quantidade de Rotações"
"Splay","1MCrescente","0.022189","1000000","999999"
"Splay","1MDecrescente","0.025781","1000000","999999"
"Splay","1MDesordenado","0.4122423","378","19771133"
"Splay","1MDesordenado10Finais","0.0963092","900016","3004858"
"Splay","1MDesordenado10Iniciais","0.0690904","900045","3006014"
"Splay","2MCrescente","0.2390859","2000000","1999999"
"Splay","2MDecrescente","0.0175545","2000000","1999999"
"Splay","2MDesordenado","0.6431953","1354","37161917"
"Splay","2MDesordenado10Finais","0.1156367","1800014","6301722"
"Splay","2MDesordenado10Iniciais","0.1446585","1800052","6300232"
"Splay","3MCrescente","0.0595504","3000000","2999999"
"Splay","3MDecrescente","0.3701598","3000000","2999999"
"Splay","3MDesordenado","0.947799","2087","56056262"
"Splay","3MDesordenado10Finais","0.1984939","2700009","9706704"
"Splay","3MDesordenado10Iniciais","0.2043843","2700050","9704322"
