"Arvore de Busca","Arquivo","Tempo De Execução","Altura","Quantidade de Rotações"
"SplayTree","1MCrescente","0.0308721","1000000","999999"
"SplayTree","1MDecrescente","0.0298628","1000000","999999"
"SplayTree","1MDesordenado","0.3968591","378","19771133"
"SplayTree","1MDesordenado10Finais","0.0501375","900016","3004858"
"SplayTree","1MDesordenado10Iniciais","0.0615315","900045","3006014"
"SplayTree","2MCrescente","0.0440066","2000000","1999999"
"SplayTree","2MDecrescente","0.0354668","2000000","1999999"
"SplayTree","2MDesordenado","0.6274025","1354","37161917"
"SplayTree","2MDesordenado10Finais","0.1187054","1800014","6301722"
"SplayTree","2MDesordenado10Iniciais","0.1106974","1800052","6300232"
"SplayTree","3MCrescente","0.0641557","3000000","2999999"
"SplayTree","3MDecrescente","0.0459351","3000000","2999999"
"SplayTree","3MDesordenado","0.9583065","2087","56056262"
"SplayTree","3MDesordenado10Finais","0.2109355","2700009","9706704"
"SplayTree","3MDesordenado10Iniciais","0.707904","2700050","9704322"
