"Arvore de Busca","Arquivo","Tempo De Execução","Altura","Quantidade de Rotações"
"AVL","1MCrescente","0.0831138","20","999980"
"AVL","1MDecrescente","0.1006001","20","999980"
"AVL","1MDesordenado","0.4433753","23","1172535"
"AVL","1MDesordenado10Finais","0.1097534","21","969945"
"AVL","1MDesordenado10Iniciais","0.1198078","21","969684"
"AVL","2MCrescente","0.1786276","21","1999979"
"AVL","2MDecrescente","0.171475","21","1999979"
"AVL","2MDesordenado","0.7140684","24","2381778"
"AVL","2MDesordenado10Finais","0.2257879","22","1939531"
"AVL","2MDesordenado10Iniciais","0.2086199","22","1939460"
"AVL","3MCrescente","0.2738877","22","2999978"
"AVL","3MDecrescente","0.310044","22","2999978"
"AVL","3MDesordenado","1.2245883","25","3590694"
"AVL","3MDesordenado10Finais","0.3147667","23","2910124"
"AVL","3MDesordenado10Iniciais","0.34516","23","2910009"
